"date","movie","rank","rating","imdb.id"
2013-10-20,"2 Guns",8,7,"tt1272878"
2013-10-20,"The Internship",9,6.3,"tt2234155"
2013-10-20,"Monsters University",10,7.5,"tt1453405"
2013-10-27,"Turbo",1,6.3,"tt1860353"
2013-10-27,"Despicable Me 2",2,7.7,"tt1690953"
2013-10-27,"Man of Steel",3,7.5,"tt0770828"
2013-10-27,"Pacific Rim",4,7.4,"tt1663662"
2013-10-27,"Kick-Ass 2",5,7,"tt1650554"
2013-10-27,"Elysium",6,7,"tt1535108"
2013-10-27,"Grown Ups 2",7,5.2,"tt2191701"
2013-10-27,"White house Down",8,6.4,"tt2334879"
2013-10-27,"The Internship",9,6.3,"tt2234155"
2013-10-27,"2 Guns",10,7,"tt1272878"
2013-11-03,"Red 2",1,6.9,"tt1821694"
2013-11-03,"We're the Millers",2,7.1,"tt1723121"
2013-11-03,"The Last Days on Mars",3,6.1,"tt1709143"
2013-11-03,"Turbo",4,6.3,"tt1860353"
2013-11-03,"Despicable Me 2",5,7.7,"tt1690953"
2013-11-03,"The To Do List",6,5.8,"tt1758795"
2013-11-03,"Percy Jackson Sea of Monsters",7,6.4,"tt1854564"
2013-11-03,"Man of Steel",8,7.5,"tt0770828"
2013-11-03,"The Wolverine",9,7.4,"tt1663662"
2013-11-03,"Elysium",10,7,"tt1535108"
2013-11-10,"The Wolverine",1,6.9,"tt1272878"
2013-11-10,"Percy Jackson Sea of Monsters",2,6.4,"tt1854564"
2013-11-10,"2 Guns",3,7.4,"tt1663662"
2013-11-10,"Red 2",4,6.9,"tt1821694"
2013-11-10,"The Smurfs 2",5,5,"tt2017020"
2013-11-10,"We're the Millers",6,7.1,"tt1723121"
2013-11-10,"The Last Days on Mars",7,6.1,"tt1709143"
2013-11-10,"Hours",8,5.5,"tt2094018"
2013-11-10,"Elysium",9,7,"tt1535108"
2013-11-10,"Despicable Me 2",10,7.7,"tt1690953"
2013-11-17,"Percy Jackson Sea of Monsters",1,6.4,"tt1854564"
2013-11-17,"Elysium",2,7,"tt1535108"
2013-11-17,"Prisoners",3,8.1,"tt1392214"
2013-11-17,"The Wolverine",4,6.9,"tt1272878"
2013-11-17,"Red 2",5,6.9,"tt1821694"
2013-11-17,"2 Guns",6,7.4,"tt1663662"
2013-11-17,"The Smurfs 2",7,5,"tt2017020"
2013-11-17,"We're the Millers",8,7.1,"tt1723121"
2013-11-17,"The Mortal Instruments City of Bones",9,6,"tt1538403"
2013-11-17,"Machete Kills",10,6.1,"tt2002718"
2013-11-24,"Prisoners",1,8.1,"tt1392214"
2013-11-24,"Percy Jackson Sea of Monsters",2,6.4,"tt1854564"
2013-11-24,"Elysium",3,7,"tt1535108"
2013-11-24,"Red 2",4,6.9,"tt1821694"
2013-11-24,"The Wolverine",5,6.9,"tt1272878"
2013-11-24,"Drinking Buddies",6,6.2,"tt2265398"
2013-11-24,"2 Guns",7,7.4,"tt1663662"
2013-11-24,"We're the Millers",8,7.1,"tt1723121"
2013-11-24,"Machete Kills",9,6.1,"tt2002718"
2013-11-24,"Thor the Dark World",10,7.6,"tt1981115"
2013-12-01,"Riddick",1,6.6,"tt1411250"
2013-12-01,"Captain Phillips",2,8.1,"tt1535109"
2013-12-01,"Kick-Ass 2",3,6.9,"tt1650554"
2013-12-01,"Prisoners",4,8.1,"tt1392214"
2013-12-01,"Escape Plan",5,7.1,"tt1211956"
2013-12-01,"Elysium",6,7,"tt1535108"
2013-12-01,"Percy Jackson Sea of Monsters",7,6.4,"tt1854564"
2013-12-01,"Red 2",8,6.9,"tt1821694"
2013-12-01,"The Wolverine",9,6.9,"tt1272878"
2013-12-01,"2 Guns",10,7.4,"tt1663662"
2013-12-08,"Riddick",1,6.6,"tt1411250"
2013-12-08,"The Family",2,6.4,"tt2404311"
2013-12-08,"Prisoners",3,8.1,"tt1392214"
2013-12-08,"Captain Phillips",4,8.1,"tt1535109"
2013-12-08,"Thor the Dark World",5,7.6,"tt1981115"
2013-12-08,"Insidious Chapter 2",6,7,"tt2226417"
2013-12-08,"Kick-Ass 2",7,6.9,"tt1650554"
2013-12-08,"Elysium",8,7,"tt1535108"
2013-12-08,"Red 2",9,6.9,"tt1821694"
2013-12-08,"The Wolverine",10,6.9,"tt1272878"
2013-12-15,"Gravity",1,8.4,"tt1454468"
2013-12-15,"Riddick",2,6.6,"tt1411250"
2013-12-15,"The Family",3,6.4,"tt2404311"
2013-12-15,"Frozen",4,8.1,"tt2294629"
2013-12-15,"Prisoners",5,8.1,"tt1392214"
2013-12-15,"Captain Phillips",6,8.1,"tt1535109"
2013-12-15,"Insidious Chapter 2",7,7,"tt2226417"
2013-12-15,"Red 2",8,6.9,"tt1821694"
2013-12-15,"Elysium",9,7,"tt1535108"
2013-12-15,"The Wolverine",10,6.9,"tt1272878"
2013-12-22,"Riddick",1,6.6,"tt1411250"
2013-12-22,"Gravity",2,8.4,"tt1454468"
2013-12-22,"Don Jon",3,7,"tt2229499"
2013-12-22,"Runner Runner",4,5.4,"tt2364841"
2013-12-22,"Dhoom 3",5,NA,"tt1833673"
2013-12-22,"The Butler",6,6.8,"tt1327773"
2013-12-22,"Out of the Furnace",7,7.1,"tt1206543"
2013-12-22,"The Family",8,6.4,"tt2404311"
2013-12-22,"Frozen",9,8.1,"tt2294629"
2013-12-22,"Prisoners",10,8.1,"tt1392214"
2013-12-29,"Saving Mr. Banks",1,7.8,"tt2140373"
2013-12-29,"Rush",2,8.3,"tt1979320"
2013-12-29,"Gravity",3,8.4,"tt1454468"
2013-12-29,"Don Jon",4,7,"tt2229499"
2013-12-29,"The Hobbit the Desolation of Smaug",5,8.3,"tt1170358"
2013-12-29,"Riddick",6,6.6,"tt1411250"
2013-12-29,"Runner Runner",7,5.4,"tt2364841"
2013-12-29,"Frozen",8,8.1,"tt2294629"
2013-12-29,"Prisoners",9,8.1,"tt1392214"
2013-12-29,"Out of the Furnace",10,7.1,"tt1206543"
2014-01-05,"The Hobbit the Desolation of Smaug",1,8.2,"tt1170358"
2014-01-05,"Jackass Presents Bad Grandpa",2,6.9,"tt3063516"
